Name;Hitpoints;Hero;Level;Card1;Card2;Card3;Card4;Card5;Card6;Card7;Card8;Card9;Card10;Card11;Card12;Card13;Card14;Card15
Archive Guardian;50;Samael;6;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian;Archive Guardian
Archive Keeper;50;Samael;6;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper;Archive Keeper
Ardent Paladin;50;Samael;6;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin;Ardent Paladin
Armored Eagle;50;Samael;6;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle;Armored Eagle
Armored Ogre;50;Lich;6;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre;Armored Ogre
Arms Champion;50;Samael;6;Arms Champion;Arms Champion;Arms Champion;Arms Champion;Arms Champion;Arms Champion;Arms Champion;Arms Champion;Arms Champion;Arms Champion;Arms Champion;Arms Champion;Arms Champion;Arms Champion;Arms Champion
Arms Enforcer;50;Samael;6;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer;Arms Enforcer
Arms Gladiator;50;Samael;6;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator;Arms Gladiator
Artic Frog;50;Samael;6;Artic Frog;Artic Frog;Artic Frog;Artic Frog;Artic Frog;Artic Frog;Artic Frog;Artic Frog;Artic Frog;Artic Frog;Artic Frog;Artic Frog;Artic Frog;Artic Frog;Artic Frog
Ascended Oracle;50;Samael;6;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle;Ascended Oracle
Ash Bringer;50;Lich;6;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer;Ash Bringer
Ashfrog;50;Lich;6;Ashfrog;Ashfrog;Ashfrog;Ashfrog;Ashfrog;Ashfrog;Ashfrog;Ashfrog;Ashfrog;Ashfrog;Ashfrog;Ashfrog;Ashfrog;Ashfrog;Ashfrog
Astral Pegasus;50;Samael;6;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus;Astral Pegasus
Avatar of Clouds;50;Samael;6;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds;Avatar of Clouds
Avatar of Gold;50;Gorc;6;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold;Avatar of Gold
Aven Skypiercer;50;Samael;6;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer;Aven Skypiercer
Avenging Angel;50;Samael;6;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel;Avenging Angel
Azure Sphinx;50;Samael;6;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx;Azure Sphinx
Battle turtle;50;Gorc;6;Battle turtle;Battle turtle;Battle turtle;Battle turtle;Battle turtle;Battle turtle;Battle turtle;Battle turtle;Battle turtle;Battle turtle;Battle turtle;Battle turtle;Battle turtle;Battle turtle;Battle turtle
Beacon Guardian;50;Samael;6;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian;Beacon Guardian
Beat of the Wyld;50;Gorc;6;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld;Beat of the Wyld
Bedlam Angel;50;Lich;6;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel;Bedlam Angel
Bedrock Dragon;50;Gorc;6;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon;Bedrock Dragon
Beetle Breaker;50;Gorc;6;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker;Beetle Breaker
Beetle Enchanter;50;Gorc;6;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter;Beetle Enchanter
Beetle Tamer;50;Gorc;6;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer;Beetle Tamer
Black Knight;50;Lich;6;Black Knight;Black Knight;Black Knight;Black Knight;Black Knight;Black Knight;Black Knight;Black Knight;Black Knight;Black Knight;Black Knight;Black Knight;Black Knight;Black Knight;Black Knight
Blazekin Dragon;50;Lich;6;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon;Blazekin Dragon
Blazen Dragon;50;Lich;6;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon;Blazen Dragon
Blazen Spirit;50;Lich;6;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit;Blazen Spirit
Blazerage Dragon;50;Lich;6;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon;Blazerage Dragon
Blazing Aurora;50;Samael;6;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora;Blazing Aurora
Blazing Drake;50;Samael;6;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake;Blazing Drake
Blizzard Dragon;50;Samael;6;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon;Blizzard Dragon
Blood Demon;50;Lich;6;Blood Demon;Blood Demon;Blood Demon;Blood Demon;Blood Demon;Blood Demon;Blood Demon;Blood Demon;Blood Demon;Blood Demon;Blood Demon;Blood Demon;Blood Demon;Blood Demon;Blood Demon
Bloodclaw Wraith;50;Lich;6;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith;Bloodclaw Wraith
Bolt Elemental;50;Samael;6;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental;Bolt Elemental
Bomb Spirit;50;Lich;6;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit;Bomb Spirit
Boneclaw Giant;50;Lich;6;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant;Boneclaw Giant
Branding Automaton;50;Lich;6;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton;Branding Automaton
Branding Construct;50;Lich;6;Branding Construct;Branding Construct;Branding Construct;Branding Construct;Branding Construct;Branding Construct;Branding Construct;Branding Construct;Branding Construct;Branding Construct;Branding Construct;Branding Construct;Branding Construct;Branding Construct;Branding Construct
Branding Engine;50;Lich;6;Branding Engine;Branding Engine;Branding Engine;Branding Engine;Branding Engine;Branding Engine;Branding Engine;Branding Engine;Branding Engine;Branding Engine;Branding Engine;Branding Engine;Branding Engine;Branding Engine;Branding Engine
Brillant aurora;50;Samael;6;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora;Brillant aurora
Brillant Radiance;50;Samael;6;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance;Brillant Radiance
Burning Drake;50;Lich;6;Burning Drake;Burning Drake;Burning Drake;Burning Drake;Burning Drake;Burning Drake;Burning Drake;Burning Drake;Burning Drake;Burning Drake;Burning Drake;Burning Drake;Burning Drake;Burning Drake;Burning Drake
Candle Gloomkin;50;Lich;6;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin;Candle Gloomkin
Canopy Chiller;50;Lich;6;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller;Canopy Chiller
Canopy Horror;50;Lich;6;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror;Canopy Horror
canopy Terror;50;Lich;6;canopy Terror;canopy Terror;canopy Terror;canopy Terror;canopy Terror;canopy Terror;canopy Terror;canopy Terror;canopy Terror;canopy Terror;canopy Terror;canopy Terror;canopy Terror;canopy Terror;canopy Terror
Canopyrise Fairy;50;Gorc;6;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy;Canopyrise Fairy
Castlerock Griffin;50;Samael;6;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin;Castlerock Griffin
Caustic Spider;50;Gorc;6;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider;Caustic Spider
Celestial Whale;50;Samael;6;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale;Celestial Whale
Cerberus;50;Gorc;6;Cerberus;Cerberus;Cerberus;Cerberus;Cerberus;Cerberus;Cerberus;Cerberus;Cerberus;Cerberus;Cerberus;Cerberus;Cerberus;Cerberus;Cerberus
Cerberus, the Gate;50;Gorc;6;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate;Cerberus, the Gate
cerberus, the Sentry;50;Gorc;6;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry;cerberus, the Sentry
Chaos Golem;50;Lich;6;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem;Chaos Golem
Chaos Storm;50;Lich;6;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm;Chaos Storm
Chaos Swell;50;Lich;6;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell;Chaos Swell
Chaos Tempest;50;Lich;6;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest;Chaos Tempest
Charging Raptor;50;Samael;6;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor;Charging Raptor
Cherub;50;Samael;6;Cherub;Cherub;Cherub;Cherub;Cherub;Cherub;Cherub;Cherub;Cherub;Cherub;Cherub;Cherub;Cherub;Cherub;Cherub
Citadel Spirit;50;Samael;6;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit;Citadel Spirit
Clawkin Elite;50;Gorc;6;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite;Clawkin Elite
Cleaver Demon;50;Lich;6;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon;Cleaver Demon
Cliffpass Apostle;50;Lich;6;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle;Cliffpass Apostle
Cliffpass Champion;50;Lich;6;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion;Cliffpass Champion
Cliffpass Defender;50;Lich;6;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender;Cliffpass Defender
Cloud Sylph;50;Samael;6;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph;Cloud Sylph
Coldbite Golem;50;Gorc;6;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem;Coldbite Golem
Concealed Dragon;50;Samael;6;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon;Concealed Dragon
Coral Ambusher;50;Gorc;6;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher;Coral Ambusher
Coral Elemental;50;Gorc;6;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental;Coral Elemental
