Player	battles	wins	wins%	best%	worst%			
Genbu	461	347	75,27%	0,00%	0,00%	63,79595754		
Marsh Ogre	461	347	75,27%	0,00%	0,00%	63,79595754		
Royal Guardian	461	347	75,27%	0,00%	0,00%	63,79595754		
Croak Lancer	461	346	75,05%	0,00%	0,00%	63,49341716		
Nixflame elemental	461	345	74,84%	0,00%	0,00%	63,20384264		
Hotiron Skeleton	461	344	74,62%	0,00%	0,00%	62,89967221		
Scorching drake	461	344	74,62%	0,00%	0,00%	62,89967221		
Swiftfoot Ranger	461	344	74,62%	0,00%	0,00%	62,89967221		
Scalding Tempest	461	343	74,40%	0,00%	0,00%	62,59469367		
Blizzard Dragon	461	342	74,19%	0,00%	0,00%	62,30284023		
Ferocious clawkin	461	341	73,97%	0,00%	0,00%	61,99633351		
Lifeblood Drake	461	341	73,97%	0,00%	0,00%	61,99633351		
Thousand Arm Demon	461	339	73,54%	0,00%	0,00%	61,39508791		
Tower Spirit	461	339	73,54%	0,00%	0,00%	61,39508791		
Zhulong	461	339	73,54%	0,00%	0,00%	61,39508791		
Underwater Lasher	461	338	73,32%	0,00%	0,00%	61,08640205		
Final Judgment	461	337	73,10%	0,00%	0,00%	60,77701486		
Runeplate Panther	461	337	73,10%	0,00%	0,00%	60,77701486		
Tide elemental	461	335	72,67%	0,00%	0,00%	60,17034927		
Fire Devil	461	330	71,58%	0,00%	0,00%	58,62178918		
Hellfrog	461	329	71,37%	0,00%	0,00%	58,32181552		
Aegistone Druid	461	328	71,15%	0,00%	0,00%	58,00703713		
Goblin Gang	461	327	70,93%	0,00%	0,00%	57,69174566		
Grand Knight Frog	461	327	70,93%	0,00%	0,00%	57,69174566		
Onyx Kinght	461	326	70,72%	0,00%	0,00%	57,39032507		
Cleaver Demon	461	323	70,07%	0,00%	0,00%	56,45469279		
Paladin	461	323	70,07%	0,00%	0,00%	56,45469279		
Lake serpent	461	321	69,63%	0,00%	0,00%	55,81925113		
Poliworg	461	321	69,63%	0,00%	0,00%	55,81925113		
coral Lurker	461	320	69,41%	0,00%	0,00%	55,50095723		
Sapling	461	319	69,20%	0,00%	0,00%	55,19679974		
Frog Patrol	461	318	68,98%	0,00%	0,00%	54,87783082		
Frost Frog	461	318	68,98%	0,00%	0,00%	54,87783082		
Spearhunter Griffin	461	318	68,98%	0,00%	0,00%	54,87783082		
Orobas	461	317	68,76%	0,00%	0,00%	54,55854664		
Steel Eagle	461	317	68,76%	0,00%	0,00%	54,55854664		
Beetle Breaker	461	316	68,55%	0,00%	0,00%	54,25350006		
Avatar of Clouds	461	315	68,33%	0,00%	0,00%	53,93365876		
Glass Colossus	461	313	67,90%	0,00%	0,00%	53,30779793		
Life Dragon	461	313	67,90%	0,00%	0,00%	53,30779793		
Lantern Guardian	461	311	67,46%	0,00%	0,00%	52,66653572		
Blazekin Dragon	461	310	67,25%	0,00%	0,00%	52,36022468		
Titan of Fire	461	310	67,25%	0,00%	0,00%	52,36022468		
Concealed Dragon	461	309	67,03%	0,00%	0,00%	52,03917805		
Siphon Dragon	461	309	67,03%	0,00%	0,00%	52,03917805		
Thunder Drake	461	309	67,03%	0,00%	0,00%	52,03917805		
Nixfire Elemental	461	307	66,59%	0,00%	0,00%	51,39670858		
Acidic Sludge	461	305	66,16%	0,00%	0,00%	50,76848899		
Branding Automaton	461	305	66,16%	0,00%	0,00%	50,76848899		
Crag Elemental	461	305	66,16%	0,00%	0,00%	50,76848899		
Werewarg Alpha	461	305	66,16%	0,00%	0,00%	50,76848899		
Candle Gloomkin	461	301	65,29%	0,00%	0,00%	49,49701955		
Wasteland Nomad	461	301	65,29%	0,00%	0,00%	49,49701955		
Arms Champion	461	299	64,86%	0,00%	0,00%	48,86870038		
Enraged Soul Wisp	461	299	64,86%	0,00%	0,00%	48,86870038		
Avenging Angel	461	298	64,64%	0,00%	0,00%	48,54733349		
Tar Pit Shambler	461	298	64,64%	0,00%	0,00%	48,54733349		
Executioner Hound	461	297	64,43%	0,00%	0,00%	48,24066187		
Forged Lava Slug	461	295	63,99%	0,00%	0,00%	47,59847068		
Ice Dragon	461	295	63,99%	0,00%	0,00%	47,59847068		
Dunetooth Rex	461	294	63,77%	0,00%	0,00%	47,2775984		
Chaos Storm	461	293	63,56%	0,00%	0,00%	46,97147565		
Devouring Locust	461	293	63,56%	0,00%	0,00%	46,97147565		
rune Panther	461	292	63,34%	0,00%	0,00%	46,65096781		
Wave Elemental	461	292	63,34%	0,00%	0,00%	46,65096781		
Ancient Golem	461	291	63,12%	0,00%	0,00%	46,33067701		
Canopy Horror	461	291	63,12%	0,00%	0,00%	46,33067701		
Magmatail Dragon	461	291	63,12%	0,00%	0,00%	46,33067701		
Lifelink Drake	461	290	62,91%	0,00%	0,00%	46,02516632		
Azure Sphinx	461	288	62,47%	0,00%	0,00%	45,38583015		
Dragon Master	461	288	62,47%	0,00%	0,00%	45,38583015		
Ancient Scroll	461	287	62,26%	0,00%	0,00%	45,08110312		
Sage of Croaks	461	286	62,04%	0,00%	0,00%	44,76217626		
Armored Ogre	461	280	60,74%	0,00%	0,00%	42,88518999		
Treefist Sapling	461	279	60,52%	0,00%	0,00%	42,56901254		
High Judgment	461	278	60,30%	0,00%	0,00%	42,25331218		
Shieldstone Druid	461	278	60,30%	0,00%	0,00%	42,25331218		
Sky Whale	461	277	60,09%	0,00%	0,00%	41,95242502		
Thunder Elemental	461	277	60,09%	0,00%	0,00%	41,95242502		
Rock Titan	461	276	59,87%	0,00%	0,00%	41,63771409		
Tadpole Warmage	461	275	59,65%	0,00%	0,00%	41,32353832		
Bloodclaw Wraith	461	274	59,44%	0,00%	0,00%	41,02416039		
Fallen Angel	461	272	59,00%	0,00%	0,00%	40,39860547		
Water Serpent	461	272	59,00%	0,00%	0,00%	40,39860547		
Coral Ambusher	461	271	58,79%	0,00%	0,00%	40,10089805		
Cyclone Elemental	461	271	58,79%	0,00%	0,00%	40,10089805		
Skeletal Giant	461	268	58,13%	0,00%	0,00%	39,16905758		
Frogling Mob	461	267	57,92%	0,00%	0,00%	38,87383362		
Spirit of Madness	461	265	57,48%	0,00%	0,00%	38,25736717		
Burning Drake	461	262	56,83%	0,00%	0,00%	37,3521388		
Croak Piercer	461	260	56,40%	0,00%	0,00%	36,75707342		
Hill Elemental	461	259	56,18%	0,00%	0,00%	36,45383618		
Griffin Knight	461	258	55,97%	0,00%	0,00%	36,16517075		
Shadow of Ash	461	258	55,97%	0,00%	0,00%	36,16517075		
Beetle Enchanter	461	257	55,75%	0,00%	0,00%	35,86360178		
Black Knight	461	256	55,53%	0,00%	0,00%	35,56291165		
Elementalist	461	256	55,53%	0,00%	0,00%	35,56291165		
Cliffpass Defender	461	253	54,88%	0,00%	0,00%	34,67980548		
Caustic Spider	461	252	54,66%	0,00%	0,00%	34,38275481		
Form of Clouds	461	251	54,45%	0,00%	0,00%	34,10010267		
Molten Skeleton	461	251	54,45%	0,00%	0,00%	34,10010267		
Webfoot Raider	461	251	54,45%	0,00%	0,00%	34,10010267		
Life Drake	461	250	54,23%	0,00%	0,00%	33,80494527		
Anarchy Golem	461	249	54,01%	0,00%	0,00%	33,51078007		
Angelic Warrior	461	249	54,01%	0,00%	0,00%	33,51078007		
Lightbound Archer	461	248	53,80%	0,00%	0,00%	33,23092602		
Werewarg Hunter	461	245	53,15%	0,00%	0,00%	32,37067612		
Iron Eagle	461	243	52,71%	0,00%	0,00%	31,7936183		
Ashfrog	461	241	52,28%	0,00%	0,00%	31,23391351		
Nix elemental	461	240	52,06%	0,00%	0,00%	30,94920792		
Ascended Oracle	461	239	51,84%	0,00%	0,00%	30,66564114		
Sailing Drake	461	239	51,84%	0,00%	0,00%	30,66564114		
Windfrog Aloft	461	238	51,63%	0,00%	0,00%	30,39603878		
Edge Demon	461	235	50,98%	0,00%	0,00%	29,56833763		
Dunetooth Devil	461	232	50,33%	0,00%	0,00%	28,75115002		
Poison Bullfrog	461	231	50,11%	0,00%	0,00%	28,47700251		
Archive Curator	461	228	49,46%	0,00%	0,00%	27,67439071		
Coral Elemental	461	228	49,46%	0,00%	0,00%	27,67439071		
Lightning Drake	461	228	49,46%	0,00%	0,00%	27,67439071		
Irate Soul Wisp	461	226	49,02%	0,00%	0,00%	27,13744881		
Water Elemental	461	226	49,02%	0,00%	0,00%	27,13744881		
Goblin Band	461	225	48,81%	0,00%	0,00%	26,88302379		
Shade Assassin	461	225	48,81%	0,00%	0,00%	26,88302379		
Dragon Breeder	461	224	48,59%	0,00%	0,00%	26,61777436		
Branding Construct	461	223	48,37%	0,00%	0,00%	26,35385647		
Gloomkin	461	222	48,16%	0,00%	0,00%	26,10318651		
Angelic Bruiser	461	219	47,51%	0,00%	0,00%	25,33514651		
Angler Tyrant	461	218	47,29%	0,00%	0,00%	25,0779114		
Webfist Shaman	461	218	47,29%	0,00%	0,00%	25,0779114		
Blazen Spirit	461	217	47,07%	0,00%	0,00%	24,82206582		
Forest Golem	461	217	47,07%	0,00%	0,00%	24,82206582		
Thorned Rakken	461	211	45,77%	0,00%	0,00%	23,33908615		
Treepalm Sapling	461	210	45,55%	0,00%	0,00%	23,09307506		
Anvil Lava slug	461	209	45,34%	0,00%	0,00%	22,85960308		
Arcane Scroll	461	207	44,90%	0,00%	0,00%	22,3747488		
Battle turtle	461	206	44,69%	0,00%	0,00%	22,14541791		
Arms Gladiator	461	204	44,25%	0,00%	0,00%	21,66929833		
Earth Elemental	461	204	44,25%	0,00%	0,00%	21,66929833		
Demon Hound	461	203	44,03%	0,00%	0,00%	21,43347607		
Judgment	461	203	44,03%	0,00%	0,00%	21,43347607		
Static Drake	461	202	43,82%	0,00%	0,00%	21,20977175		
Toad Steelwarrior	461	202	43,82%	0,00%	0,00%	21,20977175		
Lightning Elemental	461	199	43,17%	0,00%	0,00%	20,52606436		
Piping Tempest	461	198	42,95%	0,00%	0,00%	20,29765487		
Silver Wind	461	198	42,95%	0,00%	0,00%	20,29765487		
Tornado Elemental	461	198	42,95%	0,00%	0,00%	20,29765487		
Druid	461	197	42,73%	0,00%	0,00%	20,07077013		
Windfrog Gale	461	197	42,73%	0,00%	0,00%	20,07077013		
Ranger	461	196	42,52%	0,00%	0,00%	19,85562479		
Spirit Kestral	461	193	41,87%	0,00%	0,00%	19,19856825		
Wartorn Cherub	461	192	41,65%	0,00%	0,00%	18,97922903		
Werewarg	461	192	41,65%	0,00%	0,00%	18,97922903		
frogling Swarm	461	189	41,00%	0,00%	0,00%	18,3402353		
Archive Guardian	461	187	40,56%	0,00%	0,00%	17,91539236		
Mounted Turtle	461	187	40,56%	0,00%	0,00%	17,91539236		
Discord Golem	461	183	39,70%	0,00%	0,00%	17,10306138		
Armored Eagle	461	182	39,48%	0,00%	0,00%	16,8991005		
Corrosive Spider	461	182	39,48%	0,00%	0,00%	16,8991005		
Lavatail Dragon	461	182	39,48%	0,00%	0,00%	16,8991005		
Frog Scout	461	181	39,26%	0,00%	0,00%	16,69670864		
Fox Conjurer	461	180	39,05%	0,00%	0,00%	16,50498096		
Scythe Demon	461	179	38,83%	0,00%	0,00%	16,30565842		
Tar Pit Stalker	461	175	37,96%	0,00%	0,00%	15,532824		
Risen Brute	461	171	37,09%	0,00%	0,00%	14,7845616		
Arms Enforcer	461	169	36,66%	0,00%	0,00%	14,42379227		
Devote Oracle	461	169	36,66%	0,00%	0,00%	14,42379227		
Goblin Crew	461	169	36,66%	0,00%	0,00%	14,42379227		
Winter Wolf	461	167	36,23%	0,00%	0,00%	14,06900525		
Dragon Tamer	461	165	35,79%	0,00%	0,00%	13,71214679		
Ember Drake	461	162	35,14%	0,00%	0,00%	13,19637111		
Astral Pegasus	461	161	34,92%	0,00%	0,00%	13,02487132		
Cloud Sylph	461	156	33,84%	0,00%	0,00%	12,20535996		
Flightwizard Squirrel	461	156	33,84%	0,00%	0,00%	12,20535996		
Treant Sapling	461	155	33,62%	0,00%	0,00%	12,04296181		
Luminous Knight	461	154	33,41%	0,00%	0,00%	11,88937073		
Canopyrise Fairy	461	153	33,19%	0,00%	0,00%	11,72995513		
Hypno Caster	461	152	32,97%	0,00%	0,00%	11,57205939		
Angler fiend	461	149	32,32%	0,00%	0,00%	11,11438567		
Mermaid Battlemage	461	149	32,32%	0,00%	0,00%	11,11438567		
Turtle Tamer	461	149	32,32%	0,00%	0,00%	11,11438567		
Veteran Cherub	461	149	32,32%	0,00%	0,00%	11,11438567		
Angelic Brawler	461	146	31,67%	0,00%	0,00%	10,66982118		
Archive Keeper	461	145	31,45%	0,00%	0,00%	10,52229979		
Redclaw Wraith	461	144	31,24%	0,00%	0,00%	10,38286603		
Smelted Lava Slug	461	137	29,72%	0,00%	0,00%	9,413423189		
Skeletal Hound	461	136	29,50%	0,00%	0,00%	9,278831646		
Lavafrog	461	134	29,07%	0,00%	0,00%	9,019884523		
Frost wolf	461	132	28,63%	0,00%	0,00%	8,760511921		
Oracle	461	132	28,63%	0,00%	0,00%	8,760511921		
Purified Kestral	461	131	28,42%	0,00%	0,00%	8,638700288		
