Id;Name;Rarity;Fuse;Level;Attack;Defense;Delay;Faction1;Faction2;Faction3;Skill1;Skill2;Skill3;Skill4;Skill5
60;Boneclaw Giant;Epic;Quad;5;6;18;3;Chaos;Undead;Premium;Vengance,5;Weaken All,2;Poison,3;;
61;Branding Automaton;Epic;Dual;5;4;16;3;Chaos;;Premium;Hex All,1;Bolt,4;Pierce,4;;
62;Branding Construct;Epic;Single;5;4;13;3;Chaos;;Premium;Hex All,1;Bolt,3;Pierce,3;;
63;Branding Engine;Epic;Quad;5;5;20;3;Chaos;;Premium;Hex All,2;Bolt,4;Pierce,4;;
64;Brillant aurora;Legendary;Dual;6;5;15;2;Aether;Elemental;Premium;Bolt,2 ;Bolt,4;Scorch,2;;
65;Brillant Radiance;Legendary;Quad;6;6;18;2;Aether;Elemental;Premium;Vengance,4;Barrier All elemental,2;Bolt,5;;
66;Burning Drake;Rare;Dual;4;4;12;2;Chaos;Dragon;Premium;Bolt,3;Pierce,4;;;
67;Candle Gloomkin;Epic;Dual;5;6;11;2;Chaos;;Premium;Bolt,3;weaken,4;Pierce,5;;
68;Canopy Chiller;Legendary;Dual;6;5;14;2;Chaos;;Premium;Hex,3;hex,4;Poison,3;;
69;Canopy Horror;Legendary;Single;6;5;11;2;Chaos;;Premium;Hex,2;Hex,3;Poison,2;;
70;canopy Terror;Legendary;Quad;6;6;18;2;Chaos;;Premium;Hex,4;Hex,5;Poison,3;;
71;Canopyrise Fairy;Common;Quad;3;2;10;0;Wyld;;Standard;Barrier Wyld,1;;;;
72;Castlerock Griffin;Epic;Quad;5;4;14;1;Aether;;Standard;Armor,3;Vengance,3;Dualstrike every, 3;;
73;Caustic Spider;Rare;Quad;4;4;13;3;Wyld;;Standard;Invisibility,1;Hex,2;Poison,3;;
74;Celestial Whale;Epic;Quad;5;5;32;4;Aether;;Premium;Barrier All,4;Weaken,4;weaken,4;;
75;Cerberus;Legendary;Single;6;5;20;4;Wyld;;Premium;Barrier All wyld,1;Empower All Wyld,2;Pierce,4;;
76;Cerberus, the Gate;Legendary;Quad;6;8;28;4;Wyld;;Premium;Barrier All Wyld,2;Empower All wyld,3;Pierce,7;;
77;cerberus, the Sentry;Legendary;Dual;6;7;24;4;Wyld;;Premium;Barrier All Wyld,2;empower All Wyld,2;Pierce,5;;
78;Chaos Golem;Rare;Single;4;3;12;4;Chaos;;Premium;Vengance,3;Hex All,1;;;
79;Chaos Storm;Epic;Single;5;2;9;1;Chaos;Elemental;Standard;Bolt,3;Siphon,2;;;
80;Chaos Swell;Epic;Dual;5;3;11;1;Chaos;Elemental;Standard;Bolt,4;Siphon,3;;;
81;Chaos Tempest;Epic;Quad;5;3;13;1;Chaos;Elemental;Standard;Bolt,5;Siphon,5;;;
82;Charging Raptor;Legendary;Dual;6;4;12;1;Aether;;Premium;Armor,2;Empower,4;Dualstrike every,6;;
83;Cherub;Rare;Single;4;2;10;2;Aether;Angel;Standard;weaken,2;;;;
84;Citadel Spirit;Epic;Quad;5;5;15;2;Aether;;Premium;Barrier Aether,3;Bolt,3;Dualstrike,4;;
85;Clawkin Elite;Epic;Quad;5;6;17;2;Wyld;;Standard;Armor,2;empower All Wyld,1;Pierce,6;;
86;Cleaver Demon;Rare;Quad;4;5;14;3;Chaos;;Standard;Vengance,2;Pierce,4;Siphon,3;;
87;Cliffpass Apostle;Epic;Dual;5;6;16;3;Chaos;Dragon;Premium;Hex,3;Bolt,3;Scorch,3;;
88;Cliffpass Champion;Epic;Quad;5;8;20;3;Chaos;Dragon;Premium;Hex,3;Bolt,4;Scorch,3;;
89;Cliffpass Defender;Epic;Single;5;5;13;3;Chaos;Dragon;Premium;Hex,2;Bolt,2;Scorch,2;;
90;Cloud Sylph;Rare;Single;4;2;8;2;Aether;Elemental;Standard;Empower Aether,2;Freeze every,5;;;
91;Coldbite Golem;Epic;Quad;5;9;17;3;Wyld;;Premium;Armor,3;Empower Wyld,5;Freeze,4;;
92;Concealed Dragon;Epic;Single;5;3;10;2;Aether;Dragon;Premium;heal Aether,3;Dualstrike,4;;;
93;Coral Ambusher;Rare;Quad;4;3;13;2;Wyld;Elemental;Premium;Heal Elemental,2;Siphon,3;;;
94;Coral Elemental;Rare;Single;4;3;11;2;Wyld;Elemental;Premium;Heal elemental,1;siphon,2;;;
95;coral Lurker;Rare;Quad;4;4;15;2;Wyld;Elemental;Premium;Heal Elemental,4;Siphon,4;;;
96;Corrosive Spider;Rare;Dual;4;3;12;3;Wyld;;Standard;Invisibility,1;Hex,1;Poison,2;;
97;Crag Elemental;Rare;Quad;4;6;17;4;Wyld;Elemental;Standard;Armor,3;Poison,2;;;
98;Croak Impaler;Epic;Quad;5;8;15;2;Chaos;Frog;Premium;Vengance,2;Bolt,3;Pierce,4;;
99;Croak Lancer;Epic;Dual;5;7;12;2;Chaos;Frog;Premium;Vengance,2;Bolt,2;Pierce,3;;
100;Croak Piercer;Epic;Single;5;6;10;2;Chaos;Frog;Premium;Vengance,1;Bolt,2;Pierce,2;;
101;Cyclone Elemental;Common;Quad;3;3;10;2;Aether;Elemental;Standard;Vengance,2;Bolt,2;;;
102;Darkness Elemental;Epic;Quad;5;7;18;2;Wyld;Elemental;Premium;Invisibility,1;Empower elemental,5;Siphon,4;;
103;Deadlyhive Dragon;Epic;Quad;5;6;17;2;Wyld;Dragon;Premium;Heal Dragon,6;Freeze,3;Poison,3;;
104;Delusion Caster;Rare;Dual;4;2;12;2;Chaos;Frog;Premium;Weaken,3;weaken,3;;;
105;Demon Hound;Rare;Dual;4;3;9;1;Chaos;Undead;Standard;Hex,2;Pierce,3;;;
106;Devote Oracle;Rare;Dual;4;2;10;1;Aether;;Standard;heal Aether,2;Barrier Aether,2;;;
107;Devouring Dragon;Legendary;Dual;6;6;18;3;Chaos;Dragon;Premium;weaken,4;Poison,5;Siphon,5;;
108;Devouring Locust;Epic;Single;5;3;10;1;Chaos;;Standard;Hex,1;Poison,1;Siphon,3;;
109;Diension Imp;Common;Quad;3;3;9;2;Chaos;;Standard;poison,3;;;;
110;Dire Wolf;Common;Single;3;3;9;3;Wyld;;Standard;Pierce,2;;;;
111;Discord Golem;Rare;Dual;4;4;15;4;Chaos;;Premium;Vengance,3;Hex All,1;;;
112;Discordant Angel;Epic;Dual;5;6;14;2;Chaos;Angel;Standard;Vengance,3;dualstrike,5;;;
113;Dragon Breeder;Epic;Dual;5;4;14;2;Wyld;;Premium;Heal All Dragon,2;Empower Dragon,4;;;
114;Dragon Master;Epic;Quad;5;5;16;2;Wyld;;Premium;Heal All Dragon,3;Empower Dragon,5;;;
115;Dragon Tamer;Epic;Single;5;3;11;2;Wyld;;Premium;Heal All Dragon,1;Empower Dragon,3;;;
116;Druid;Rare;Single;4;3;10;3;Wyld;;Standard;Heal All Wyld,1;Barrier Wyld,2;;;
117;Duchess of the Swamp;Legendary;Dual;6;5;16;2;Wyld;;Premium;Invisibility,1;Hex All,2;Poison,5;;
118;Dunetooth Demon;Epic;Single;5;2;16;3;Chaos;;Premium;Weaken,1;Pierce,3;Poison,2;;
119;Dunetooth Devil;Epic;Dual;5;3;19;3;Chaos;;Premium;weaken All,1;Pierce,4;poison,3;;
120;Dunetooth Rex;Epic;Quad;5;4;21;3;Chaos;;Premium;Weaken All,2;Pierce,5;poison,4;;
121;Duoshot Ranger;Rare;Quad;4;5;10;1;Wyld;;Standard;Empower Wyld,2;Pierce,4;;;
122;Earth Elemental;Rare;Single;4;5;12;4;Wyld;Elemental;Standard;Armor,3;;;;
123;Edge Demon;Rare;Dual;4;4;11;3;Chaos;;Standard;Vengance,2;Pierce,3;Siphon,3;;
124;Elemental Seer;Epic;Dual;5;5;15;2;Aether;;Standard;Empower All Elemental,2;Barrier Elemental,2;Dualstrike,4;;
125;Elementalist;Epic;Single;5;4;11;2;Aether;;Standard;Empower All Elemental,2;Barrier Elemental,2;Dualstrike,4;;
126;Ember Drake;Rare;Single;4;4;9;2;Chaos;Dragon;Premium;Bolt,2;Pierce,3;;;
127;Enraged Soul Wisp;Common;Quad;3;2;10;1;Aether;;Standard;Empower,3;;;;
128;Entity Dragon;Legendary;Dual;6;6;24;4;Wyld;Dragon;Standard;Invisibility,2;Heal All wyld,2;Siphon,5;;
129;essence Dragon;Legendary;Quad;6;8;29;4;Wyld;Dragon;Standard;Invisibility,2;heal All Wyld,4;siphon,6;;
130;Executioner Hound;Rare;Quad;4;4;11;1;Chaos;Undead;Standard;Hex,2;Pierce,4;;;
131;Fallen Angel;Epic;Single;5;5;11;2;Chaos;Angel;Standard;Vengance,2;dualstrike,5;;;
132;Feather Skypiercer;Legendary;Dual;6;4;15;2;Aether;;Premium;Armor,3;Bolt,3;Freeze every,5;;
133;Ferocious clawkin;Epic;Single;5;5;11;2;Wyld;;Standard;Empower All Wyld,1;Pierce,4;;;
134;Fierce Skypiercer;Legendary;Quad;6;4;19;2;Aether;;Premium;Armor,3;Bolt,4;Freeze every,4;;
135;Final Judgment;Rare;Quad;4;5;13;3;Aether;;Standard;Vengance,3;Barrier Aether,3;Dualstrike,4;;
136;Fire Devil;Rare;Quad;4;4;5;0;Chaos;;Standard;Bolt,3;;;;
137;Fire Fiend;Rare;Dual;4;3;4;1;Chaos;;Standard;Bolt,2;;;;
138;Fire Imp;Rare;Single;4;3;2;2;Chaos;;Standard;Bolt,1;;;;
139;Fire Spirit;Common;Dual;3;2;6;1;Chaos;;Standard;bolt,2;;;;
140;FireBomb Spirit;Epic;Quad;5;0;14;1;Chaos;;Premium;Bolt,3;bolt,3;Bolt,3;;
141;Flame Spirit;Common;Single;3;2;4;1;Chaos;;Standard;bolt,1;;;;
142;Flashbomb Spirit;Epic;Dual;5;0;11;1;Chaos;;Premium;Bolt,3;bolt,2;Bolt,2;;
143;Flicker Imp;Common;Dual;3;3;7;2;Chaos;;Standard;Poison,2;;;;
144;Flightmage squirrel;Common;Dual;3;2;7;1;Wyld;;Standard;Heal Wyld,1;Barrier Wyld,1;;;
145;Flightwizard Squirrel;Common;Quad;3;2;9;1;Wyld;;Standard;Heal Wyld,2;Barrier wyld,2;;;
146;Flying Squirrel;Common;Single;3;2;5;1;Wyld;;Standard;Heal Wyld,1;;;;
147;Forest Golem;Common;Dual;3;2;8;1;Wyld;;Standard;Empower,2;;;;
148;Forged Lava Slug;Rare;Quad;4;6;17;4;Chaos;;Standard;Scorch,3;Siphon,3;;;
149;Form of Clouds;Rare;Dual;4;2;11;2;Aether;Elemental;Standard;Empower Aether,3;freeze every,5;;;
150;Fowl Drove;Epic;Dual;5;3;12;1;Aether;;Premium;Heal,3;Empower,3;Legion Aether,2;;
151;Fowl Horde;Epic;Quad;5;3;15;1;Aether;;Premium;Heal,4;Empower,3;Legion Aether,3;;
152;Fowl Swarm;Epic;Single;5;3;9;1;Aether;;Premium;Heal,2;Empower,2;Legion Aether,2;;
153;Fox Charmer;Common;Dual;3;2;8;2;Aether;;Standard;Heal Aether,2;Weaken,1;;;
154;Fox Conjurer;Common;Quad;3;3;10;2;Aether;;Standard;Heal Aether,2;Weaken,2;;;
155;Fox Trickster;Common;Single;3;2;6;2;Aether;;Standard;heal Aether,2;;;;
156;Frog Emperor;Legendary;Single;6;5;10;2;Wyld;Frog;Premium;Armor,2;Barrier frog,3;Empower All frog,2;;
157;Frog outrunner;Rare;Quad;4;3;13;1;Wyld;Frog;Standard;Invisibility,1;Empower Frog,4;;;
158;Frog Patrol;Rare;Dual;4;2;11;1;Wyld;Frog;Standard;invisibility,1;Empower Frog,3;;;
159;Frog Scout;Rare;Single;4;1;9;1;Wyld;Frog;Standard;Invisibility,1;Empower Frog,2;;;
160;Frog Warmage;Epic;Quad;5;5;14;2;Wyld;Frog;Premium;Invisibility,2;Armor,3;Fervor Frog,3;;
161;Froglet Warmage;Epic;Dual;5;4;13;2;Wyld;Frog;Premium;Invisibility,1;Armor,2;Fervor Frog,2;;
162;Frogling Army;Epic;Quad;5;5;18;2;Chaos;Frog;Premium;Invisibility,1;Legion Chaos,2;weaken All,2;;
163;Frogling Mob;Epic;Dual;5;4;15;2;Chaos;Frog;Premium;Invisibility,1;Legion Chaos,1;Weaken All,2;;
164;frogling Swarm;Epic;Single;5;3;12;2;Chaos;Frog;Premium;Invisibility,1;Legion Chaos,1;Weaken All,1;;
165;Frost Frog;Epic;Single;5;6;15;3;Aether;Frog;Premium;Barrier All Frog, 2;Freeze every,5;Weaken All,1;;
166;Frost Golem;Epic;Dual;5;7;16;3;Wyld;;Premium;Armor,3;Empower Wyld,4;Freeze,5;;
167;Frost wolf;Common;Dual;3;3;11;3;Wyld;;Standard;Pierce,3;;;;
168;Frozen Frog;Epic;Dual;5;8;18;3;Aether;Frog;Premium;Barrier All frog, 2;freeze every,5;Weaken All,2;;
169;Furnace Breaker;Legendary;Quad;6;7;17;2;Chaos;;Premium;Bolt,4;Bolt,4;Siphon,5;;
170;Furnace Mech;Legendary;Single;6;5;12;2;Chaos;;Premium;Bolt,3;Siphon,3;;;
171;Furnace Smasher;Legendary;Dual;6;6;15;2;Chaos;;Premium;Bolt,4;Siphon,4;;;
172;Garganotos;Epic;Single;5;5;10;2;Wyld;;Standard;Empower,3;Pierce,3;Poison,2;;
173;Genbu;Legendary;Single;6;7;20;4;Wyld;;Premium;Invisibility,1;Armor,3;Barrier All wyld,1;;
174;Genbu, the garrison;Legendary;Dual;6;8;23;4;Wyld;;Premium;Invisibility,2;Armor,4;Barrier All Wyld,2;;
175;Genbu, the Stronghold;Legendary;Quad;6;9;26;4;Wyld;;Premium;Invisibility,3;Armor,5;Barrier All Wyld,3;;
176;Giant Squid;Epic;Single;5;4;14;3;Wyld;;Standard;Hex,3;Freeze,5;Siphon,3;;
177;Glass Colossus;Epic;Single;5;5;12;3;Aether;;Standard;Armor,3;Barrier,2;;;
178;Glass Goliath;Epic;Dual;5;5;16;3;Aether;;Standard;Armor,4;Barrier,3;;;
179;Glass Titan;Epic;Quad;5;6;19;3;Aether;;Standard;Armor,4;Barrier,4;Weaken All,1;;
180;Glod elemental;Legendary;Single;6;3;17;3;Wyld;Elemental;Premium;Armor,2;Empower All Elemental,2;Fervor elemental,1;;
181;Gloom elemental;Epic;Dual;5;6;16;2;Wyld;Elemental;Premium;Invisibility,1;Empower Elemental,4;Siphon,3;;
182;Gloomkin;Epic;Single;5;6;9;2;Chaos;;Premium;Bolt,2;Weaken,3;Pierce,4;;
183;Glowfist Shaman;Epic;Dual;5;3;14;1;Wyld;Frog;Premium;Heal Frog,5;Pierce,5;Fervor Frog,1;;
184;Goblin Band;Rare;Dual;4;4;7;1;Chaos;;Premium;Pierce,4;dualstrike,5;;;
185;Goblin Charlatan;Common;Quad;3;5;4;1;Chaos;;Standard;Pierce,4;;;;
186;Goblin Crew;Rare;Single;4;4;5;1;Chaos;;Premium;Pierce,2;Dualstrike,5;;;
187;Goblin Gang;Rare;Quad;4;5;9;1;Chaos;;Premium;Pierce,4;DualStrike,4;;;
188;Goblin Rogue;Common;Single;3;3;1;1;Chaos;;Standard;Pierce,2;;;;
189;Goblin Scoundrel;Common;Dual;3;4;2;1;Chaos;;Standard;Pierce,4;;;;
190;Gold Incarnate;Legendary;Dual;6;3;20;3;Wyld;Elemental;Premium;Armor,3;Empower All elemental,3;Fervor elemental,2;;
191;Grand Frog emperor;Legendary;Dual;6;6;14;2;Wyld;Frog;Premium;Armor,3;Barrier Frog,4;Empower All frog,2;;
192;Grand Knight Frog;Legendary;Single;6;5;9;1;Aether;Frog;Premium;Armor,2;Legion Aether,1;;;
193;Gravity Bender;Epic;Quad;5;5;21;3;Aether;Elemental;Premium;Weaken All,3;Weaken,3;Freeze,4;;
194;Gravity Swell;Epic;Single;5;4;14;3;Aether;Elemental;Premium;Weaken All,1;Weaken,2;Freeze,5;;
195;Gravity Tide;Epic;Dual;5;4;18;3;Aether;Elemental;Premium;Weaken All,2;weaken,2;freeze,4;;
196;great sage of croaks;Epic;Quad;5;4;18;3;Wyld;Frog;Standard;Invisibility,2;Heal All frog,3;Hex All,1;;
197;Griffin Knight;Epic;Single;5;3;7;1;Aether;;Standard;Armor,2;Vengance,2;Dualstrike every,4;;
198;Hailstone Dragon;Legendary;Quad;6;8;29;4;Aether;Dragon;Premium;Freeze every,3;Freeze every,4;Weaken All, 3;;
199;heart of the Wyld;Legendary;Quad;6;5;18;2;Wyld;;Standard;Heal All wyld,2;Empower All Wyld,2;Freeze,5;;
200;Hekaton;Legendary;Single;6;4;15;3;Wyld;;Premium;Armor,2;Empower Wyld,3;Pierce,4;;
201;Hekaton, Sky Scraper;Legendary;Quad;6;7;17;3;Wyld;;Premium;Armor,4;Empower Wyld,6;Pierce,6;;
202;Hekaton, Son of Earth;Legendary;Dual;6;5;16;3;Wyld;;Premium;Armor,3;Empower Wyld,5;Pierce,5;;
203;Hellfrog;Rare;Quad;4;4;12;2;Chaos;Frog;Standard;Hex,2;bolt,3;;;
204;Hemorrhage Demon;Legendary;Dual;6;6;15;2;Chaos;;Standard;Weaken,2;Scorch,3;Siphon,5;;
205;Heoric Frog;Epic;Single;5;1;9;1;Aether;Frog;Standard;Empower,4;freeze,5;;;
206;High Guardian;Legendary;Quad;6;9;18;3;Aether;;Premium;Armor,4;Vengance,5;Dualstrike,3;;
207;High Judgment;Rare;Dual;4;4;11;3;Aether;;Standard;Vengance,3;Barrier Aether,2;dualstrike,4;;
208;High Knight Frog;Legendary;Dual;6;6;13;1;Aether;Frog;Premium;Armor,3;legion Aether,2;;;
209;Hill Elemental;Rare;Dual;4;5;15;4;Wyld;Elemental;Standard;Armor,3;Poison,1;;;
210;Hired Ogre;Legendary;Dual;6;8;23;4;Chaos;;Premium;Vengance,4;Hex All,2;Pierce,3;;
211;Honeycomb Dragon;Epic;Single;5;5;13;2;Wyld;Dragon;Premium;Heal Dragon,3;Freeze,6;Poison,2;;
212;Horned Rakken;Common;Single;3;2;5;1;Chaos;;Standard;Weaken,1;;;;
213;Hotiron Skeleton;Rare;Dual;4;4;9;1;Chaos;Undead;Standard;Bolt,2;Scorch,2;;;
214;Hulking Squid;Epic;Dual;5;5;16;3;Wyld;;Standard;Hex,3;Freeze,4;Siphon,4;;
215;Huntress Frog;Epic;Quad;5;7;19;3;Wyld;Frog;Premium;Heal All Frog,3;Fervor Wyld,3;Freeze,3;;
216;Hypno Caster;Rare;Quad;4;3;16;2;Chaos;Frog;Premium;Weaken,3;weaken,4;;;
217;Ice Dragon;Legendary;Single;6;6;19;4;Aether;Dragon;Premium;Freeze every,5;freeze every,5;Weaken All,1;;
218;Ice golem;Epic;Single;5;6;13;3;Wyld;;Premium;Armor,3;Empower Wyld,3;freeze,5;;
219;Igneous elemental;Common;Quad;3;2;11;3;Chaos;Elemental;Standard;Bolt,2;Scorch,3;;;
220;Illusion caster;Rare;Single;4;2;9;2;Chaos;Frog;Premium;Weaken,2;Weaken,2;;;
221;Invisible Assassin;Epic;Quad;5;5;4;0;Chaos;;Standard;Invisibility,2;Pierce,6;Poison,3;;
222;Irate Soul Wisp;Common;Dual;3;1;8;1;Aether;;Standard;Empower,3;;;;
223;Iron Eagle;Rare;Dual;4;3;11;2;Aether;;Standard;Armor,3;Dualstrike every,5;;;
224;Ivory Knight;Legendary;Dual;6;7;19;3;Aether;Angel;Premium;Armor,3;Empower Aether,4;Weaken All,2;;
225;Judgment;Rare;Single;4;4;8;3;Aether;;Standard;Vengance,2;Barrier Aether,2;Dualstrike,4;;
226;Kestral;Common;Single;3;3;6;2;Aether;;Standard;Barrier Aether,1;;;;
227;king Garganotos;Epic;Quad;5;6;14;2;Wyld;;Standard;empower,5;Pierce,5;Poison,3;;
228;Kraken;Legendary;Single;6;6;14;3;Wyld;;Premium;Invisibility,1;Heal Wyld,3;Freeze,4;;
229;Kraken of fears;Legendary;Quad;6;7;22;3;Wyld;;Premium;Invisibility,3;Heal Wyld,6;Freeze,3;;
230;Kraken of the depths;Legendary;Dual;6;6;19;3;Wyld;;Premium;Invisibility,2;Heal Wyld,5;Freeze,4;;
231;Lady of the Swamp;Legendary;Single;6;5;13;2;Wyld;;Premium;Invisibility,1;Hex All,1;Poison,3;;
232;Lake serpent;Rare;Dual;4;2;9;1;Wyld;;Premium;Invisibility,2;Freeze,5;;;
233;Lantern Gloomkin;Epic;Quad;5;7;13;2;Chaos;;Premium;Bolt,4;Weaken,4;Pierce,6;;
234;Lantern Guardian;Epic;Single;5;2;10;2;Aether;;Premium;Armor,3;Heal,3;Bolt,3;;
235;Lava Crab;Common;Single;3;4;4;2;Chaos;;Standard;vengance,2;;;;
236;Lava Gripper;Common;Quad;3;6;6;2;Chaos;;Standard;Vengance,2;Pierce,3;;;
237;Lava Pincer;Common;Dual;3;5;5;2;Chaos;;Standard;Vengance,2;Pierce,2;;;
238;Lavafrog;Rare;Single;4;2;7;2;Chaos;Frog;Standard;hex,2;Bolt,2;;;
239;Lavamolten Elemental;Rare;Dual;4;2;9;3;Chaos;Elemental;Standard;Bolt,2;Scorch,2;;;
